district_id,lb_code,lb_name_english,lb_type_csn,lb_type,district_name,lb_name_full
1,B010100,Varkala,2,Block Panchayat,Thiruvananthapuram  District ,"Varkala Block Panchayat, Thiruvananthapuram District "
1,B010200,Kilimanoor,2,Block Panchayat,Thiruvananthapuram District ,"Kilimanoor Block Panchayat, Thiruvananthapuram District "
1,B010300,Chirayinkeezhu,2,Block Panchayat,Thiruvananthapuram District ,"Chirayinkeezhu Block Panchayat, Thiruvananthapuram District "
1,B010400,Vamanapuram,2,Block Panchayat,Thiruvananthapuram District ,"Vamanapuram Block Panchayat, Thiruvananthapuram District "
1,B010500,Vellanad,2,Block Panchayat,Thiruvananthapuram District ,"Vellanad Block Panchayat, Thiruvananthapuram District "
1,B010600,Nedumangad,2,Block Panchayat,Thiruvananthapuram District ,"Nedumangad Block Panchayat, Thiruvananthapuram District "
1,B010800,Nemom,2,Block Panchayat,Thiruvananthapuram District ,"Nemom Block Panchayat, Thiruvananthapuram District "
1,B010900,Perumkadavila,2,Block Panchayat,Thiruvananthapuram District ,"Perumkadavila Block Panchayat, Thiruvananthapuram District "
1,B011000,Athiyannoor,2,Block Panchayat,Thiruvananthapuram District ,"Athiyannoor Block Panchayat, Thiruvananthapuram District "
2,B020100,Oachira,2,Block Panchayat,Kollam District ,"Oachira Block Panchayat, Kollam District "
1,B011100,Parassala,2,Block Panchayat,Thiruvananthapuram District ,"Parassala Block Panchayat, Thiruvananthapuram District "
2,B020200,Sasthamcotta,2,Block Panchayat,Kollam District ,"Sasthamcotta Block Panchayat, Kollam District "
2,B020300,Vettikkavala,2,Block Panchayat,Kollam District ,"Vettikkavala Block Panchayat, Kollam District "
2,B020400,Pathanapuram,2,Block Panchayat,Kollam District ,"Pathanapuram Block Panchayat, Kollam District "
2,B020500,Anchal,2,Block Panchayat,Kollam District ,"Anchal Block Panchayat, Kollam District "
2,B020600,Kottarakara,2,Block Panchayat,Kollam District ,"Kottarakara Block Panchayat, Kollam District "
2,B021000,Ithikkara,2,Block Panchayat,Kollam District ,"Ithikkara Block Panchayat, Kollam District "
2,B020900,Mukhathala,2,Block Panchayat,Kollam District ,"Mukhathala Block Panchayat, Kollam District "
2,B020700,Chittumala,2,Block Panchayat,Kollam District ,"Chittumala Block Panchayat, Kollam District "
2,B020800,Chavara,2,Block Panchayat,Kollam District ,"Chavara Block Panchayat, Kollam District "
3,B030400,Elanthur,2,Block Panchayat,Pathanamthitta District ,"Elanthur Block Panchayat, Pathanamthitta District "
2,B021100,Chadayamangalam,2,Block Panchayat,Kollam District ,"Chadayamangalam Block Panchayat, Kollam District "
3,B030300,Koipuram,2,Block Panchayat,Pathanamthitta District ,"Koipuram Block Panchayat, Pathanamthitta District "
3,B030100,Mallappally,2,Block Panchayat,Pathanamthitta District ,"Mallappally Block Panchayat, Pathanamthitta District "
